table_date,fiscal_year,total,adult,ecms_adult,family,ecms_family,smartlink,voiceid,wristworn,gps,ankle_monitor,dual_tech,no_tech,file_date
2019-09-30,2019,83186,24484,50,58608,44,,,,,,,,2019-10-06
2020-07-31,2020,86705,37860,399,48845,784,,,,,,,,2020-09-01
2020-08-29,2020,86053,37638,447,47129,839,,,,,,,,2020-09-04
2020-09-12,2020,85857,37572,460,46974,851,,,,,,,,2020-09-18
2020-09-30,2020,85415,42828,478,41235,874,,,,,,,,2020-10-01
2020-11-07,2021,85413,38455,519,45518,921,,,,,,,,2020-11-19
2020-11-21,2021,85628,38951,542,45187,948,,,,,,,,2020-11-26
2020-12-05,2021,85882,39292,556,45073,961,,,,,,,,2020-12-10
2020-12-19,2021,86369,39784,575,45032,978,,,,,,,,2020-12-30
2021-01-02,2021,86565,40213,576,44794,982,,,,,,,,2021-01-15
2021-01-16,2021,86860,40793,591,44493,983,,,,,,,,2021-01-22
2021-01-30,2021,87439,41618,606,44235,980,,,,,,,,2021-02-11
2021-02-13,2021,88308,41974,625,44714,995,,,,,,,,2021-03-09
2021-02-27,2021,89115,42958,645,44501,1011,,,,,,,,2021-03-13
2021-03-13,2021,90630,44664,669,44280,1017,,,,,,,,2021-03-18
2021-03-27,2021,92166,46930,695,43522,1019,,,,,,,,2021-04-01
2021-04-10,2021,93733,43893,708,48110,1022,,,,,,,,2021-04-15
2021-04-24,2021,95160,46313,721,47109,1017,,,,,,,,2021-05-04
2021-05-08,2021,96574,47116,760,47720,978,,,,,,,,2021-05-14
2021-06-05,2021,100363,52647,764,45998,954,,,,,,,,2021-06-12
2021-06-19,2021,103933,49920,712,52319,982,,,,,,,,2021-06-25
2021-07-03,2021,106080,53383,705,51023,969,,,,,,,,2021-07-09
2021-07-17,2021,107795,56744,707,49389,955,,,,,,,,2021-07-23
2021-07-31,2021,112256,57428,717,53184,927,,,,,,,,2021-08-07
2021-08-14,2021,117682,54956,696,61094,936,,,,,,,,2021-08-25
2021-09-11,2021,124999,54436,669,69021,873,,,,,,,,2021-09-17
2021-09-25,2021,131620,61968,719,68118,815,,,,,,,,2021-10-08
2021-12-04,2022,145463,60286,585,83798,794,,,,,,,,2021-12-18
2021-12-18,2022,150755,67846,574,81549,786,,,,,,,,2022-01-05
2022-01-01,2022,157761,67166,565,89260,770,,,,,,,,2022-01-11
2022-01-15,2022,164391,76028,551,87063,749,,,,,,,,2022-01-21
2022-02-12,2022,182607,92332,531,89019,725,,,,,,,,2022-02-17
2022-03-12,2022,191988,101334,508,89462,684,,,,,,,,2022-03-18
2022-03-26,2022,200332,112124,478,87093,637,,,,,,,,2022-04-01
2022-04-09,2022,216450,131379,592,84012,467,,,,,,,,2022-04-14
2022-04-23,2022,227508,131822,426,94683,577,,,,,,,,2022-05-05
2022-05-07,2022,239957,143471,405,95530,551,,,,,,,,2022-05-25
2022-06-03,2022,266439,166524,378,99016,521,,,,,,,,2022-06-18
2022-06-20,2022,279483,278601,882,,,,,,,,,,2022-06-28
2022-07-04,2022,284813,191423,371,92518,501,,,,,,,,2022-07-09
2022-07-16,2022,296250,197446,780,97961,63,,,,,,,,2022-07-22
2022-08-13,2022,297994,197244,345,99928,477,247965,22064,,27662,,,,2022-08-20
2022-09-24,2022,316700,220427,327,95515,431,255602,19902,,40970,,,,2022-09-30
2022-11-05,2023,336338,251174,276,84510,378,265832,17895,,52379,,,,2022-11-17
2022-11-19,2023,343038,260677,269,81736,356,268755,17212,,7905,,,,2022-12-08
2022-12-03,2023,358025,277490,261,79935,339,277191,16680,,7484,,,,2022-12-13
2022-12-17,2023,377980,275567,250,101838,325,287506,16017,,6825,,,,2022-12-23
2022-12-31,2023,376031,278829,236,96667,299,296041,15645,,6508,,,,2023-01-10
2023-01-14,2023,355140,250468,216,104167,289,290317,15278,,6123,,,,2023-01-20
2023-01-28,2023,324554,233133,406,90940,75,280089,14796,,5757,,,,2023-02-04
2023-02-11,2023,305992,207988,204,97541,259,268698,14197,,5600,,,,2023-03-01
2023-02-25,2023,293167,199869,192,92867,239,259157,13645,,5312,,,,2023-03-04
2023-03-11,2023,287299,202731,169,84216,183,255615,13077,,5053,,,,2023-03-17
2023-03-25,2023,281613,201699,150,79621,143,252185,12522,,4874,,,,2023-04-01
2023-04-08,2023,281613,196240,158,85056,159,253875,12868,,5194,,,,2023-04-21
2023-04-22,2023,253146,178583,141,74293,129,229905,11311,,4590,,,,2023-04-29
2023-05-06,2023,242418,169375,134,72790,119,224300,10477,,4576,,,,2023-05-20
