table_date,fiscal_year,total,arresting_agency_ice,arresting_agency_cbp,crim_conviction,crim_pending_charge,crim_other,processing_disposition_expedited,processing_disposition_nta,processing_disposition_reinstatement,processing_disposition_other,facility_type_frc,facility_type_adult,file_date
2019-10-04,2019,50922,18881,32041,16120,5359,29443,26952,18529,4239,1202,973,49949,2019-10-06
2020-08-15,2020,21007,13597,7410,11372,3187,6448,5208,11566,3107,1126,222,20785,2020-09-01
2020-08-29,2020,20489,13509,6980,11149,3236,6104,4950,11514,2894,1131,229,20260,2020-09-04
2020-09-12,2020,20018,13432,6586,10773,3351,5894,4651,11521,2711,1135,194,19824,2020-09-18
2020-10-02,2020,19068,12853,6215,10221,3187,5660,4393,11148,2416,1111,319,18749,2020-10-01
2020-11-07,2021,16634,11503,5131,8931,2974,4729,3684,10194,1776,980,184,16450,2020-11-19
2020-11-21,2021,16075,11229,4846,8632,2966,4477,3493,9825,1824,933,217,15858,2020-11-26
2020-12-05,2021,15772,11011,4761,8448,2948,4376,3514,9451,1894,913,255,15517,2020-12-10
2020-12-19,2021,15350,10789,4561,8272,2810,4268,3356,9094,1985,915,222,15128,2020-12-30
2021-01-02,2021,15444,10710,4734,8189,2864,4391,3430,9054,2034,926,270,15174,2021-01-15
2021-01-16,2021,14195,9879,4316,7598,2544,4053,3229,8352,1742,872,200,13995,2021-01-22
2021-01-30,2021,14095,9421,4674,7362,2306,4427,3663,7832,1748,852,446,13649,2021-02-11
2021-02-13,2021,13258,8351,4907,6746,1890,4622,3928,7006,1535,789,412,12846,2021-03-09
2021-02-27,2021,13529,7692,5837,6452,1592,5485,4725,6566,1488,750,339,13190,2021-03-13
2021-03-13,2021,14052,6879,7173,5857,1252,6943,5585,6527,705,1235,912,13140,2021-03-18
2021-03-27,2021,13914,5775,8139,5177,919,7818,6337,5922,1020,635,1045,12869,2021-04-01
2021-04-10,2021,15136,5306,9830,4765,826,9545,7405,6163,975,593,1562,13574,2021-04-15
2021-04-24,2021,15697,4883,10814,4524,696,10477,9704,4473,978,542,157,15540,2021-05-04
2021-05-08,2021,19041,4825,14216,4490,686,13865,12332,5087,1052,570,496,18545,2021-05-14
2021-05-22,2021,21519,4667,16852,4382,971,16166,14885,4993,1070,571,388,21131,2021-05-29
2021-06-19,2021,26222,4668,21554,4399,1100,20723,18486,5993,1185,558,1059,25163,2021-06-25
2021-07-03,2021,27217,4604,22613,4433,1117,21667,19623,5787,1235,572,833,26384,2021-07-09
2021-07-17,2021,26771,4548,22223,4439,1078,21254,18006,6898,1296,571,1119,25652,2021-07-23
2021-07-31,2021,25526,4555,20971,4502,971,20053,15926,7682,1364,554,1118,24408,2021-08-07
2021-08-14,2021,25162,4589,20573,4495,835,19832,15315,7900,1379,568,943,24219,2021-08-25
2021-08-28,2021,23014,4537,18477,4443,808,17763,13494,7259,1323,938,774,22240,2021-09-14
2021-09-11,2021,21566,4623,16943,4553,771,16242,12009,7022,1379,1156,720,20846,2021-09-17
2021-09-25,2021,22129,4996,17133,4537,852,16740,12225,7463,1418,1023,596,21533,2021-10-02
2021-12-05,2022,21952,4762,17190,4559,931,16462,10188,9139,1568,1057,1152,20800,2021-12-18
2021-12-19,2022,20623,4629,15994,4436,795,15392,8839,9450,1512,822,869,19754,2022-01-05
2022-01-02,2022,22068,4658,17410,4471,860,16737,8507,11300,1526,735,924,21144,2022-01-11
2022-01-16,2022,20886,4721,16165,4534,850,15502,7966,10535,1596,789,237,20649,2022-01-21
2022-02-13,2022,19948,4911,15037,4727,999,14222,6430,11172,1666,680,191,19757,2022-02-17
2022-02-27,2022,17984,4889,13095,4666,982,12336,5399,10199,1601,785,177,17807,2022-03-03
2022-03-13,2022,20146,5007,15139,4692,1049,14405,5286,12520,1620,720,26,20120,2022-03-18
2022-03-27,2022,20733,5060,15673,4621,1079,15033,4905,13582,1572,674,0,20733,2022-04-01
2022-04-10,2022,18846,5212,13634,4629,1082,13135,4060,12426,1683,677,0,18846,2022-04-14
2022-04-24,2022,19502,5315,14187,4880,1177,13445,5714,11244,1901,643,0,19502,2022-05-05
2022-05-09,2022,22281,5398,16883,5021,1226,16034,8619,10804,2124,734,0,22281,2022-05-25
2022-06-05,2022,24591,5795,18796,5353,1327,17911,10621,10933,2287,750,0,24591,2022-06-18
2022-06-19,2022,23390,5979,17411,5505,1343,16542,10258,10038,2282,812,0,23390,2022-06-28
2022-07-05,2022,23156,6040,17116,5434,1402,16320,9733,10414,2212,797,0,23156,2022-07-09
2022-07-17,2022,22886,6347,16539,5550,1538,15798,9072,10641,2291,882,0,22886,2022-07-22
2022-07-31,2022,23390,6559,16831,5615,1606,16169,9575,10553,2269,993,0,23390,2022-08-10
2022-08-15,2022,24127,6954,17173,5903,1778,16446,10286,10447,2348,1046,0,24127,2022-08-20
