type,date
ATD,20210107
ATD,20210114
ATD,20210224
ATD,20210225
ATD,20210430
ATD,20210529
ATD,20210610
ATD,20210911
ATD,20210914
ATD,20211002
ATD,20211029
ATD,20211113
ATD,20211210
ATD,20211230
ATD,20220303
ATD,20220429
ATD,20220610
ATD,20220617
ATD,20220624
ATD,20220805
ATD,20220810
ATD,20220916
ATD,20221129
ATD,20221207
ATD,20230413
ATD,20230527
ATD,20230601
ATD,20231001
ATD,20240830
ATD,20241116
ATD,20241121
ATD,20250228
ATD,20250801
Detention,20210107
Detention,20210114
Detention,20210224
Detention,20210225
Detention,20210430
Detention,20210610
Detention,20210612
Detention,20210911
Detention,20211008
Detention,20211029
Detention,20211113
Detention,20211210
Detention,20211230
Detention,20220429
Detention,20220610
Detention,20220617
Detention,20220624
Detention,20220805
Detention,20221117
Detention,20221129
Detention,20221207
Detention,20230413
Detention,20230527
Detention,20230601
Detention,20231001
Detention,20241116
Detention,20241121
Detention,20250228
Detention,20250801
