table_date,fiscal_year,total,crim_conviction,crim_pending_charge,crim_other,delta_total,delta_crim_conviction,delta_crim_pending_charge,delta_crim_other,delta_n_days,file_date
2019-10-04,2019,510854,155891,38635,316328,,,,,,2019-10-06
2020-08-15,2020,169811,88397,21720,59694,,,,,316,2020-09-01
2020-08-29,2020,173577,90728,22495,60354,3766,2331,775,660,14,2020-09-04
2020-09-12,2020,177391,94360,22895,60136,3814,3632,400,-218,14,2020-09-18
2020-10-02,2020,182869,98375,23500,60994,5478,4015,605,858,20,2020-10-01
2020-11-07,2021,11243,6261,2326,2656,,,,,36,2020-11-19
2020-11-21,2021,15180,8476,3184,3520,3937,2215,858,864,14,2020-11-26
2020-12-05,2021,18870,10436,3992,4442,3690,1960,808,922,14,2020-12-10
2020-12-19,2021,23187,12777,4789,5621,4317,2341,797,1179,14,2020-12-30
2021-01-02,2021,26094,14174,5427,6493,2907,1397,638,872,14,2021-01-15
2021-01-16,2021,30021,16359,6172,7490,3927,2185,745,997,14,2021-01-22
2021-01-30,2021,33832,18139,6715,8978,3811,1780,543,1488,14,2021-02-11
2021-02-13,2021,37257,19399,6964,10894,3425,1260,249,1916,14,2021-03-09
2021-02-27,2021,40693,20253,7048,13392,3436,854,84,2498,14,2021-03-13
2021-03-13,2021,45724,21475,7071,17178,5031,1222,23,3786,14,2021-03-18
2021-03-27,2021,51478,22596,7188,21694,5754,1121,117,4516,14,2021-04-01
2021-04-10,2021,58964,23799,7392,27773,7486,1203,204,6079,14,2021-04-15
2021-04-24,2021,67121,25004,7610,34507,8157,1205,218,6734,14,2021-05-04
2021-05-08,2021,77055,26906,7441,42708,9934,1902,-169,8201,14,2021-05-14
2021-05-22,2021,87170,28148,7971,51051,10115,1242,530,8343,14,2021-05-29
2021-06-19,2021,110941,30713,8555,71673,23771,2565,584,20622,28,2021-06-25
2021-07-03,2021,122511,32127,8874,81510,11570,1414,319,9837,14,2021-07-09
2021-07-17,2021,134781,33333,9193,92255,12270,1206,319,10745,14,2021-07-23
2021-07-31,2021,146095,34773,9486,101836,11314,1440,293,9581,14,2021-08-07
2021-08-14,2021,161677,36302,9618,115757,15582,1529,132,13921,14,2021-08-25
2021-08-28,2021,175901,37745,9868,128288,14224,1443,250,12531,14,2021-09-14
2021-09-11,2021,189847,39049,10087,140711,13946,1304,219,12423,14,2021-09-17
2021-09-25,2021,207572,40462,10485,156625,17725,1413,398,15914,14,2021-10-02
2021-12-04,2022,68310,6288,1794,60228,,,,,70,2021-12-18
2021-12-18,2022,84330,7752,2098,74480,16020,1464,304,14252,14,2022-01-05
2022-01-01,2022,97335,8802,2409,86124,13005,1050,311,11644,14,2022-01-11
2022-01-15,2022,100961,9767,2581,88613,3626,965,172,2489,14,2022-01-21
2022-02-12,2022,130164,12597,3289,114278,29203,2830,708,25665,28,2022-02-17
2022-02-26,2022,138698,13986,3581,121131,8534,1389,292,6853,14,2022-03-03
2022-03-12,2022,154749,15665,4053,135031,16051,1679,472,13900,14,2022-03-18
2022-03-26,2022,167675,17210,4493,145972,12926,1545,440,10941,14,2022-04-01
2022-04-09,2022,179054,18931,4953,155170,11379,1721,460,9198,14,2022-04-14
2022-04-23,2022,190229,20740,5439,164050,11175,1809,486,8880,14,2022-05-05
2022-05-07,2022,202556,22596,5917,174043,12327,1856,478,9993,14,2022-05-25
2022-06-04,2022,226458,26243,6826,193389,23902,3647,909,19346,28,2022-06-18
2022-06-18,2022,236244,28061,7240,200943,9786,1818,414,7554,14,2022-06-28
2022-07-02,2022,245806,29752,7712,208342,9562,1691,472,7399,14,2022-07-09
2022-07-16,2022,254935,31490,8308,215137,9129,1738,596,6795,14,2022-07-22
2022-07-30,2022,265924,33409,8993,223522,10989,1919,685,8385,14,2022-08-10
2022-08-13,2022,276262,35592,9744,230926,10338,2183,751,7404,14,2022-08-20
2022-09-10,2022,298063,39881,11480,246702,21801,4289,1736,15776,28,2022-09-16
2022-09-24,2022,306979,42323,12233,252423,8916,2442,753,5721,14,2022-09-30
2022-11-19,2023,35448,7819,3022,24607,,,,,56,2022-12-08
2022-12-03,2023,43563,9845,3806,29912,8115,2026,784,5305,14,2022-12-13
2022-12-17,2023,51706,12066,4631,35009,8143,2221,825,5097,14,2022-12-23
2022-12-31,2023,59047,13777,5228,40042,7341,1711,597,5033,14,2023-01-10
2023-01-14,2023,68198,15803,5953,46442,9151,2026,725,6400,14,2023-01-20
2023-01-28,2023,78842,17958,6809,54075,10644,2155,856,7633,14,2023-02-04
2023-02-11,2023,89693,20241,7650,61802,10851,2283,841,7727,14,2023-03-01
2023-02-25,2023,98754,22792,8542,67420,9061,2551,892,5618,14,2023-03-04
2023-03-11,2023,108786,25538,9483,73765,10032,2746,941,6345,14,2023-03-17
2023-03-25,2023,118552,27864,10331,80357,9766,2326,848,6592,14,2023-04-01
2023-04-08,2023,127913,30428,11192,86293,9361,2564,861,5936,14,2023-04-21
2023-04-22,2023,137304,32813,12095,92396,9391,2385,903,6103,14,2023-04-29
2023-05-06,2023,145576,35298,13000,97278,8272,2485,905,4882,14,2023-05-20
2023-05-20,2023,161470,37963,14039,109468,15894,2665,1039,12190,14,2023-06-02
2023-06-03,2023,175108,40608,15127,119373,13638,2645,1088,9905,14,2023-06-13
2023-06-17,2023,185622,43255,16175,126192,10514,2647,1048,6819,14,2023-06-27
2023-07-01,2023,196907,45665,17166,134076,11285,2410,991,7884,14,2023-07-11
2023-07-15,2023,207659,48202,18195,141262,10752,2537,1029,7186,14,2023-07-21
2023-07-29,2023,218304,50859,19374,148071,10645,2657,1179,6809,14,2023-08-04
2023-08-12,2023,229609,53376,20147,156086,11305,2517,773,8015,14,2023-08-19
2023-08-26,2023,243223,55857,20999,166367,13614,2481,852,10281,14,2023-09-01
2023-09-09,2023,256940,58196,21816,176928,13717,2339,817,10561,14,2023-09-26
2023-09-23,2023,267235,60614,22647,183974,10295,2418,831,7046,14,2023-09-30
2023-10-03,2023,273220,63520,21904,187796,5985,2906,-743,3822,10,2023-11-08
2023-11-04,2024,27412,6060,2084,19268,,,,,32,2023-11-16
