table_date,fiscal_year,total,family,adult,delta_total,delta_family,delta_adult,delta_n_days,file_date
2019-10-04,2019,267258,1069,266189,,,,,2019-10-06
2020-08-15,2020,173538,3134,170404,,,,316,2020-09-01
2020-08-29,2020,177004,3187,173817,3466,53,3413,14,2020-09-04
2020-09-12,2020,180619,3299,177320,3615,112,3503,14,2020-09-18
2020-10-02,2020,185884,3310,182574,5265,11,5254,20,2020-10-01
2020-11-07,2021,10347,88,10259,,,,36,2020-11-19
2020-11-21,2021,13262,129,13133,2915,41,2874,14,2020-11-26
2020-12-05,2021,15730,158,15572,2468,29,2439,14,2020-12-10
2020-12-19,2021,18545,186,18359,2815,28,2787,14,2020-12-30
2021-01-02,2021,20316,194,20122,1771,8,1763,14,2021-01-15
2021-01-16,2021,23918,219,23699,3602,25,3577,14,2021-01-22
2021-01-30,2021,26175,232,25943,2257,13,2244,14,2021-02-11
2021-02-13,2021,28677,246,28431,2502,14,2488,14,2021-03-09
2021-02-27,2021,29944,195,29749,1267,-51,1318,14,2021-03-13
2021-03-15,2021,31922,198,31724,1978,3,1975,16,2021-03-18
2021-03-27,2021,33709,201,33508,1787,3,1784,12,2021-04-01
2021-04-10,2021,35284,209,35075,1575,8,1567,14,2021-04-15
2021-04-24,2021,37025,215,36810,1741,6,1735,14,2021-05-04
2021-05-08,2021,38563,275,38288,1538,60,1478,14,2021-05-14
2021-05-22,2021,40336,222,40114,1773,-53,1826,14,2021-05-29
2021-06-19,2021,43619,225,43394,3283,3,3280,28,2021-06-25
2021-07-03,2021,45626,228,45398,2007,3,2004,14,2021-07-09
2021-07-17,2021,47247,289,46958,1621,61,1560,14,2021-07-23
2021-07-31,2021,49479,232,49247,2232,-57,2289,14,2021-08-07
2021-08-14,2021,51512,236,51276,2033,4,2029,14,2021-08-25
2021-08-28,2021,53659,297,53362,2147,61,2086,14,2021-09-14
2021-09-11,2021,55590,298,55292,1931,1,1930,14,2021-09-17
2021-09-25,2021,57627,246,57381,2037,-52,2089,14,2021-10-02
2021-12-04,2022,8741,14,8727,,,,70,2021-12-18
2021-12-18,2022,10876,19,10857,2135,5,2130,14,2022-01-05
2022-01-01,2022,12334,21,12313,1458,2,1456,14,2022-01-11
2022-01-15,2022,14312,20,14292,1978,-1,1979,14,2022-01-21
2022-02-12,2022,18493,31,18462,4181,11,4170,28,2022-02-17
2022-02-26,2022,20673,45,20628,2180,14,2166,14,2022-03-03
2022-03-12,2022,23499,49,23450,2826,4,2822,14,2022-03-18
2022-03-26,2022,25986,59,25927,2487,10,2477,14,2022-04-01
2022-04-09,2022,28862,73,28789,2876,14,2862,14,2022-04-14
