year_month,fiscal_year,initial_bookins,adp,final_bookouts,final_bookouts_release_to_remove,percent_of_final_bookouts_as_removals,table_date,file_date
2018_10,2019,40551,45584.03,,,,2019-10-04,2019-10-06
2018_11,2019,44313,46202.40,,,,2019-10-04,2019-10-06
2018_12,2019,44418,48783.29,,,,2019-10-04,2019-10-06
2019_01,2019,41027,46947.32,,,,2019-10-04,2019-10-06
2019_02,2019,47103,48592.64,,,,2019-10-04,2019-10-06
2019_03,2019,55149,48958.29,,,,2019-10-04,2019-10-06
2019_04,2019,54961,49172.63,,,,2019-10-04,2019-10-06
2019_05,2019,56826,51822.81,,,,2019-10-04,2019-10-06
2019_06,2019,40367,54254.17,,,,2019-10-04,2019-10-06
2019_07,2019,33769,54220.16,,,,2019-10-04,2019-10-06
2019_08,2019,27803,55238.48,,,,2019-10-04,2019-10-06
2019_09,2019,24567,52090.97,,,,2019-10-04,2019-10-06
2019_10,2020,24728,50217.84,,,,2020-10-02,2020-10-01
2019_11,2020,22369,46171.40,,,,2020-10-02,2020-10-01
2019_12,2020,23907,42750.58,,,,2020-10-02,2020-10-01
2020_01,2020,22780,41115.06,,,,2020-10-02,2020-10-01
2020_02,2020,22687,39312.93,,,,2020-10-02,2020-10-01
2020_03,2020,19386,37687.97,,,,2020-10-02,2020-10-01
2020_04,2020,8517,31823.33,,,,2020-10-02,2020-10-01
2020_05,2020,7277,27189.35,,,,2020-10-02,2020-10-01
2020_06,2020,6688,24203.93,,,,2020-10-02,2020-10-01
2020_07,2020,7540,22549.42,,,,2020-10-02,2020-10-01
2020_08,2020,8274,21397.03,,,,2020-10-02,2020-10-01
2020_09,2020,8716,20227.20,,,,2020-10-02,2020-10-01
2020_10,2021,9195,18745.58,,,,2021-09-25,2021-10-02
2020_11,2021,8062,16871.67,,,,2021-09-25,2021-10-02
2020_12,2021,8621,16129.00,,,,2021-09-25,2021-10-02
2021_01,2021,8139,15099.10,,,,2021-09-25,2021-10-02
2021_02,2021,6905,14086.96,,,,2021-09-25,2021-10-02
2021_03,2021,12420,14151.29,,,,2021-09-25,2021-10-02
2021_04,2021,17632,15561.37,,,,2021-09-25,2021-10-02
