year_month,fiscal_year,variable_name,n,min_reported,max_reported,table_date,file_date
2018_10,2019,initial_bookins,40551,40551,40551,2019-10-04,2019-10-06
2018_11,2019,initial_bookins,44313,44313,44313,2019-10-04,2019-10-06
2018_12,2019,initial_bookins,44418,44418,44418,2019-10-04,2019-10-06
2019_01,2019,initial_bookins,41027,41027,41027,2019-10-04,2019-10-06
2019_02,2019,initial_bookins,47103,47103,47103,2019-10-04,2019-10-06
2019_03,2019,initial_bookins,55149,55149,55149,2019-10-04,2019-10-06
2019_04,2019,initial_bookins,54961,54961,54961,2019-10-04,2019-10-06
2019_05,2019,initial_bookins,56826,56826,56826,2019-10-04,2019-10-06
2019_06,2019,initial_bookins,40367,40367,40367,2019-10-04,2019-10-06
2019_07,2019,initial_bookins,33769,33769,33769,2019-10-04,2019-10-06
2019_08,2019,initial_bookins,27803,27803,27803,2019-10-04,2019-10-06
2019_09,2019,initial_bookins,24567,24567,24567,2019-10-04,2019-10-06
2019_10,2020,initial_bookins,24728,24728,24728,2020-10-02,2020-10-01
2019_11,2020,initial_bookins,22369,22369,22369,2020-10-02,2020-10-01
2019_12,2020,initial_bookins,23907,23907,23907,2020-10-02,2020-10-01
2020_01,2020,initial_bookins,22780,22780,22781,2020-10-02,2020-10-01
2020_02,2020,initial_bookins,22687,22687,22688,2020-10-02,2020-10-01
2020_03,2020,initial_bookins,19386,19364,19386,2020-10-02,2020-10-01
2020_04,2020,initial_bookins,8517,8512,8517,2020-10-02,2020-10-01
2020_05,2020,initial_bookins,7277,7269,7277,2020-10-02,2020-10-01
2020_06,2020,initial_bookins,6688,6675,6688,2020-10-02,2020-10-01
2020_07,2020,initial_bookins,7540,7530,7540,2020-10-02,2020-10-01
2020_08,2020,initial_bookins,8274,8274,8277,2020-10-02,2020-10-01
2020_09,2020,initial_bookins,8716,8716,8716,2020-10-02,2020-10-01
2020_10,2021,initial_bookins,9195,9194,9213,2021-09-25,2021-10-02
2020_11,2021,initial_bookins,8062,8052,8062,2021-09-25,2021-10-02
2020_12,2021,initial_bookins,8621,8605,8627,2021-09-25,2021-10-02
2021_01,2021,initial_bookins,8139,8139,8143,2021-09-25,2021-10-02
2021_02,2021,initial_bookins,6905,6905,6911,2021-09-25,2021-10-02
2021_03,2021,initial_bookins,12420,12420,12422,2021-09-25,2021-10-02
2021_04,2021,initial_bookins,17632,17631,17635,2021-09-25,2021-10-02
2021_05,2021,initial_bookins,22620,22620,22632,2021-09-25,2021-10-02
2021_06,2021,initial_bookins,26530,26530,26532,2021-09-25,2021-10-02
2021_07,2021,initial_bookins,26060,26056,26060,2021-09-25,2021-10-02
