year_month,fiscal_year,total_final_bookouts,total_final_releases,bonded_out,bond_set_by_ice,bond_set_by_ij,order_of_recognizance,order_of_supervision,paroled,proceedings_terminated,release_to_remove,relief_granted_by_ij,transfer_to_marshals_or_other_agency,transferred,other,table_date,file_date
2020_10,2021,,2529,1131,218,913,603,405,390,,,,,,,2021-09-25,2021-10-02
2020_11,2021,,2918,924,181,743,1064,686,244,,,,,,,2021-09-25,2021-10-02
2020_12,2021,,3547,939,219,720,1401,785,422,,,,,,,2021-09-25,2021-10-02
2021_01,2021,,3682,876,225,651,1511,844,451,,,,,,,2021-09-25,2021-10-02
2021_02,2021,,4792,842,285,557,2202,978,770,,,,,,,2021-09-25,2021-10-02
2021_03,2021,,11878,752,238,514,7167,1889,2070,,,,,,,2021-09-25,2021-10-02
2021_04,2021,,12731,716,188,528,9100,1031,1884,,,,,,,2021-09-25,2021-10-02
2021_05,2021,,13085,1110,422,688,9590,652,1733,,,,,,,2021-09-25,2021-10-02
2021_06,2021,,20791,1566,513,1053,15859,824,2542,,,,,,,2021-09-25,2021-10-02
2021_07,2021,,25675,1386,451,935,16131,861,7297,,,,,,,2021-09-25,2021-10-02
2021_08,2021,,30771,844,301,543,20054,976,8897,,,,,,,2021-09-25,2021-10-02
2021_09,2021,,24091,696,199,497,14600,491,8304,,,,,,,2021-09-25,2021-10-02
2021_10,2022,,21765,1079,277,802,11625,463,8598,,,,,,,2022-09-24,2022-09-30
2021_11,2022,,27501,1190,260,930,14980,759,10572,,,,,,,2022-09-24,2022-09-30
2021_12,2022,,27986,1058,309,749,17311,1143,8474,,,,,,,2022-09-24,2022-09-30
2022_01,2022,,23956,698,230,468,16954,1187,5117,,,,,,,2022-09-24,2022-09-30
2022_02,2022,,24917,2157,1349,808,17779,535,4446,,,,,,,2022-09-24,2022-09-30
2022_03,2022,,24958,3184,2351,833,16248,614,4912,,,,,,,2022-09-24,2022-09-30
2022_04,2022,,18419,2395,1419,976,10893,558,4573,,,,,,,2022-09-24,2022-09-30
2022_05,2022,,16689,2712,1378,1334,7013,605,6359,,,,,,,2022-09-24,2022-09-30
2022_06,2022,,18319,3463,2134,1329,7788,584,6484,,,,,,,2022-09-24,2022-09-30
2022_07,2022,,15558,3055,1801,1254,5519,431,6553,,,,,,,2022-09-24,2022-09-30
2022_08,2022,,15103,3463,1974,1489,4229,565,6846,,,,,,,2022-09-24,2022-09-30
2022_09,2022,,10909,2320,1362,958,2929,425,5235,,,,,,,2022-09-24,2022-09-30
2022_10,2023,,9709,2676,1582,1094,1867,430,4736,,,,,,,2023-10-03,2023-11-08
2022_11,2023,,12467,2828,1429,1399,2176,306,7157,,,,,,,2023-10-03,2023-11-08
2022_12,2023,,20292,1879,1047,832,5450,1209,11754,,,,,,,2023-10-03,2023-11-08
2023_01,2023,,10892,922,481,441,3212,767,5991,,,,,,,2023-10-03,2023-11-08
2023_02,2023,,10111,1015,466,549,2804,249,6043,,,,,,,2023-10-03,2023-11-08
2023_03,2023,,14255,1891,1213,678,2665,320,9379,,,,,,,2023-10-03,2023-11-08
2023_04,2023,,12671,985,437,548,3126,324,8236,,,,,,,2023-10-03,2023-11-08
2023_05,2023,,12442,1229,629,600,4392,296,6525,,,,,,,2023-10-03,2023-11-08
2023_06,2023,,11090,928,265,663,3182,259,6721,,,,,,,2023-10-03,2023-11-08
2023_07,2023,,11255,1039,323,716,2901,327,6988,,,,,,,2023-10-03,2023-11-08
2023_08,2023,,12344,1225,292,933,4044,342,6733,,,,,,,2023-10-03,2023-11-08
2023_09,2023,,10474,949,364,585,3807,455,5263,,,,,,,2023-10-03,2023-11-08
2023_10,2024,20388,,941,294,647,2920,549,5626,67,9740,99,424,19,3,2024-10-03,2024-10-01
2023_11,2024,19638,,940,363,577,3067,387,5630,78,9022,82,385,45,2,2024-10-03,2024-10-01
2023_12,2024,20287,,981,360,621,4456,406,5130,63,8784,84,345,34,4,2024-10-03,2024-10-01
2024_01,2024,19296,,690,125,565,1942,475,4732,77,10806,102,443,28,1,2024-10-03,2024-10-01
2024_02,2024,22137.0,,852,203,649,2273,356,5259,128,12635,85,526,20,3,2024-10-03,2024-10-01
2024_03,2024,24400,,1085,314,771,2416,984,6017,100,12990,112,616,76,4,2024-10-03,2024-10-01
2024_04,2024,23649,,1084,321,763,1503,1156,5345,97,13725,118,590,29,2,2024-10-03,2024-10-01
2024_05,2024,25963,,1021,334,687,1749,1061,4784,191,16336,142,632,40,7,2024-10-03,2024-10-01
2024_06,2024,23734,,885,154,731,1734,795,4216,161,15369,114,415,42,3,2024-10-03,2024-10-01
2024_07,2024,24749,,969,158,811,1881,627,4807,117,15638,135,549,24,2,2024-10-03,2024-10-01
2024_08,2024,23626,,1047,289,758,1285,641,4982,79,14854,117,574,45,2,2024-10-03,2024-10-01
2024_09,2024,20613,,899,247,652,1320,493,4092,59,13083,93,524,49,1,2024-10-03,2024-10-01
2024_10,2025,21709,,909,109,800,1494,457,4385,84,13645,128,591,15,1,2025-09-20,2025-10-30
2024_11,2025,20890,,653,92,561,1480,443,4962,58,12608,94,555,36,1,2025-09-20,2025-10-30
2024_12,2025,20696,,806,114,692,1108,432,5159,50,12300,105,524,211,1,2025-09-20,2025-10-30
2025_01,2025,19970,,677,149,528,1023,537,4962,56,11915,94,633,69,4,2025-09-20,2025-10-30
2025_02,2025,17330,,803,80,723,326,108,559,55,14314,85,979,99,2,2025-09-20,2025-10-30
2025_03,2025,19363,,1791,50,1741,99,62,46,65,15916,102,1161,113,8,2025-09-20,2025-10-30
2025_04,2025,21115,,2512,79,2433,125,106,64,56,16995,111,1068,73,5,2025-09-20,2025-10-30
2025_05,2025,26798,,2438,89,2349,142,136,38,84,22520,159,1071,205,5,2025-09-20,2025-10-30
2025_06,2025,29387,,2479,91,2388,148,83,67,111,24887,201,930,471,10,2025-09-20,2025-10-30
2025_07,2025,30729,,2051,113,1938,277,143,81,92,26697,237,837,307,7,2025-09-20,2025-10-30
2025_08,2025,32395,,899,62,837,219,107,157,118,29446,258,824,361,6,2025-09-20,2025-10-30
2025_09,2025,23637,,464,31,433,145,55,73,89,21158,190,563,896,4,2025-09-20,2025-10-30
2025_10,2026,37541,,1086,91,995,289,144,140,177,34114,436,903,246,6,2026-02-07,2026-02-13
2025_11,2026,36454,,1269,104,1165,346,180,83,156,32833,354,751,474,8,2026-02-07,2026-02-13
