year_month,fiscal_year,variable_name,n,min_reported,max_reported,table_date,file_date
2023_10,2024,total_final_bookouts,20388,20375,20388,2024-10-03,2024-10-01
2023_11,2024,total_final_bookouts,19638,19636,19638,2024-10-03,2024-10-01
2023_12,2024,total_final_bookouts,20287,20278,20288,2024-10-03,2024-10-01
2024_01,2024,total_final_bookouts,19296,19286,19299,2024-10-03,2024-10-01
2024_02,2024,total_final_bookouts,22137.0,22133,22137,2024-10-03,2024-10-01
2024_03,2024,total_final_bookouts,24400,24396,24418,2024-10-03,2024-10-01
2024_04,2024,total_final_bookouts,23649,23637,23649,2024-10-03,2024-10-01
2024_05,2024,total_final_bookouts,25963,25603,25963,2024-10-03,2024-10-01
2024_06,2024,total_final_bookouts,23734,23680,23741,2024-10-03,2024-10-01
2024_07,2024,total_final_bookouts,24749,24546,24749,2024-10-03,2024-10-01
2024_08,2024,total_final_bookouts,23626,23626,23652,2024-10-03,2024-10-01
2024_09,2024,total_final_bookouts,20613,20613,20613,2024-10-03,2024-10-01
2024_10,2025,total_final_bookouts,21709,21707,21738,2025-09-20,2025-10-30
2024_11,2025,total_final_bookouts,20890,20879,20890,2025-09-20,2025-10-30
2024_12,2025,total_final_bookouts,20696,20693,20722,2025-09-20,2025-10-30
2025_01,2025,total_final_bookouts,19970,19921,19971,2025-09-20,2025-10-30
2025_02,2025,total_final_bookouts,17330,17326,17332,2025-09-20,2025-10-30
2025_03,2025,total_final_bookouts,19363,19332,19364,2025-09-20,2025-10-30
2025_04,2025,total_final_bookouts,21115,21111,21119,2025-09-20,2025-10-30
2025_05,2025,total_final_bookouts,26798,26779,26798,2025-09-20,2025-10-30
2025_06,2025,total_final_bookouts,29387,29387,29437,2025-09-20,2025-10-30
2025_07,2025,total_final_bookouts,30729,30706,30729,2025-09-20,2025-10-30
2025_08,2025,total_final_bookouts,32395,32395,32395,2025-09-20,2025-10-30
2025_09,2025,total_final_bookouts,23637,,,2025-09-20,2025-10-30
2025_10,2026,total_final_bookouts,37541,37530,37720,2026-02-07,2026-02-13
2025_11,2026,total_final_bookouts,36454,36434,36454,2026-02-07,2026-02-13
2025_12,2026,total_final_bookouts,38736,38735,38857,2026-02-07,2026-02-13
2026_01,2026,total_final_bookouts,37404,37404,37404,2026-02-07,2026-02-13
2026_02,2026,total_final_bookouts,10090,,,2026-02-07,2026-02-13
2020_10,2021,total_final_releases,2529,2529,2535,2021-09-25,2021-10-02
2020_11,2021,total_final_releases,2918,2918,2920,2021-09-25,2021-10-02
2020_12,2021,total_final_releases,3547,3547,3556,2021-09-25,2021-10-02
2021_01,2021,total_final_releases,3682,3682,3691,2021-09-25,2021-10-02
2021_02,2021,total_final_releases,4792,4781,4792,2021-09-25,2021-10-02
2021_03,2021,total_final_releases,11878,11878,11889,2021-09-25,2021-10-02
2021_04,2021,total_final_releases,12731,12723,12732,2021-09-25,2021-10-02
2021_05,2021,total_final_releases,13085,13085,13091,2021-09-25,2021-10-02
2021_06,2021,total_final_releases,20791,20775,20792,2021-09-25,2021-10-02
2021_07,2021,total_final_releases,25675,25662,25675,2021-09-25,2021-10-02
2021_08,2021,total_final_releases,30771,30767,30771,2021-09-25,2021-10-02
2021_09,2021,total_final_releases,24091,,,2021-09-25,2021-10-02
2021_10,2022,total_final_releases,21765,21765,23224,2022-09-24,2022-09-30
2021_11,2022,total_final_releases,27501,27501,29676,2022-09-24,2022-09-30
2021_12,2022,total_final_releases,27986,27986,30966,2022-09-24,2022-09-30
2022_01,2022,total_final_releases,23956,23956,26307,2022-09-24,2022-09-30
2022_02,2022,total_final_releases,24917,24917,25007,2022-09-24,2022-09-30
2022_03,2022,total_final_releases,24958,24958,25125,2022-09-24,2022-09-30
2022_04,2022,total_final_releases,18419,18419,18472,2022-09-24,2022-09-30
2022_05,2022,total_final_releases,16689,16689,16702,2022-09-24,2022-09-30
2022_06,2022,total_final_releases,18319,18307,18321,2022-09-24,2022-09-30
2022_07,2022,total_final_releases,15558,15558,15563,2022-09-24,2022-09-30
2022_08,2022,total_final_releases,15103,15103,15106,2022-09-24,2022-09-30
2022_09,2022,total_final_releases,10909,,,2022-09-24,2022-09-30
2022_10,2023,total_final_releases,9709,9709,9733,2023-10-03,2023-11-08
2022_11,2023,total_final_releases,12467,12467,12496,2023-10-03,2023-11-08
