year_month,fiscal_year,variable_name,n,min_reported,max_reported,table_date,file_date
2018_10,2019,total,40551,40551,40551,2019-10-04,2019-10-06
2018_11,2019,total,44313,44313,44313,2019-10-04,2019-10-06
2018_12,2019,total,44418,44418,44418,2019-10-04,2019-10-06
2019_01,2019,total,41027,41027,41027,2019-10-04,2019-10-06
2019_02,2019,total,47103,47103,47103,2019-10-04,2019-10-06
2019_03,2019,total,55149,55149,55149,2019-10-04,2019-10-06
2019_04,2019,total,54961,54961,54961,2019-10-04,2019-10-06
2019_05,2019,total,56826,56826,56826,2019-10-04,2019-10-06
2019_06,2019,total,40367,40367,40367,2019-10-04,2019-10-06
2019_07,2019,total,33769,33769,33769,2019-10-04,2019-10-06
2019_08,2019,total,27803,27803,27803,2019-10-04,2019-10-06
2019_09,2019,total,24567,24567,24567,2019-10-04,2019-10-06
2019_10,2020,total,24728,24728,24728,2020-10-02,2020-10-01
2019_11,2020,total,22369,22369,22369,2020-10-02,2020-10-01
2019_12,2020,total,23907,23907,23907,2020-10-02,2020-10-01
2020_01,2020,total,22780,22780,22781,2020-10-02,2020-10-01
2020_02,2020,total,22687,22687,22688,2020-10-02,2020-10-01
2020_03,2020,total,19386,19364,19386,2020-10-02,2020-10-01
2020_04,2020,total,8517,8512,8517,2020-10-02,2020-10-01
2020_05,2020,total,7277,7269,7277,2020-10-02,2020-10-01
2020_06,2020,total,6688,6675,6688,2020-10-02,2020-10-01
2020_07,2020,total,7540,7530,7540,2020-10-02,2020-10-01
2020_08,2020,total,8274,8274,8277,2020-10-02,2020-10-01
2020_09,2020,total,8716,8716,8716,2020-10-02,2020-10-01
2020_10,2021,total,9195,9194,9213,2021-09-25,2021-10-02
2020_11,2021,total,8062,8052,8062,2021-09-25,2021-10-02
2020_12,2021,total,8621,8605,8627,2021-09-25,2021-10-02
2021_01,2021,total,8139,8139,8143,2021-09-25,2021-10-02
2021_02,2021,total,6905,6905,6911,2021-09-25,2021-10-02
2021_03,2021,total,12420,12420,12422,2021-09-25,2021-10-02
2021_04,2021,total,17632,17631,17635,2021-09-25,2021-10-02
2021_05,2021,total,22620,22620,22632,2021-09-25,2021-10-02
2021_06,2021,total,26530,26530,26532,2021-09-25,2021-10-02
2021_07,2021,total,26060,26056,26060,2021-09-25,2021-10-02
2021_08,2021,total,33044,33044,33045,2021-09-25,2021-10-02
2021_09,2021,total,28344,,,2021-09-25,2021-10-02
2021_10,2022,total,28669,28669,30324,2022-09-24,2022-09-30
2021_11,2022,total,30326,30326,32771,2022-09-24,2022-09-30
2021_12,2022,total,30422,30420,33856,2022-09-24,2022-09-30
2022_01,2022,total,25598,25597,28128,2022-09-24,2022-09-30
2022_02,2022,total,25631,25631,25635,2022-09-24,2022-09-30
2022_03,2022,total,31040,31036,31042,2022-09-24,2022-09-30
2022_04,2022,total,25405,25400,25405,2022-09-24,2022-09-30
2022_05,2022,total,26134,26130,26135,2022-09-24,2022-09-30
2022_06,2022,total,21483,21467,21486,2022-09-24,2022-09-30
2022_07,2022,total,21680,21680,21683,2022-09-24,2022-09-30
2022_08,2022,total,24781,24781,24783,2022-09-24,2022-09-30
2022_09,2022,total,15810,,,2022-09-24,2022-09-30
2022_10,2023,total,22412,22412,22420,2023-10-03,2023-11-08
2022_11,2023,total,19068,19065,19069,2023-10-03,2023-11-08
2022_12,2023,total,17610,17610,17630,2023-10-03,2023-11-08
2023_01,2023,total,21997,21997,22019,2023-10-03,2023-11-08
2023_02,2023,total,19731,19730,19732,2023-10-03,2023-11-08
2023_03,2023,total,22200,22194,22200,2023-10-03,2023-11-08
2023_04,2023,total,18937,18936,18944,2023-10-03,2023-11-08
2023_05,2023,total,30511,30503,30518,2023-10-03,2023-11-08
2023_06,2023,total,24041,23930,24042,2023-10-03,2023-11-08
2023_07,2023,total,22801,22793,22802,2023-10-03,2023-11-08
2023_08,2023,total,29083,29083,29110,2023-10-03,2023-11-08
2023_09,2023,total,24829,24829,24829,2023-10-03,2023-11-08
2023_10,2024,total,24118,24096,24118,2024-10-03,2024-10-01
2023_11,2024,total,17692,17642,17693,2024-10-03,2024-10-01
2023_12,2024,total,21085,21077,21093,2024-10-03,2024-10-01
2024_01,2024,total,20536,20534,20537,2024-10-03,2024-10-01
2024_02,2024,total,24431,24431,24437,2024-10-03,2024-10-01
2024_03,2024,total,22105,22100,22134,2024-10-03,2024-10-01
2024_04,2024,total,23974,23968,23976,2024-10-03,2024-10-01
2024_05,2024,total,28582,28083,28582,2024-10-03,2024-10-01
2024_06,2024,total,25034,24985,25035,2024-10-03,2024-10-01
2024_07,2024,total,23644,23440,23644,2024-10-03,2024-10-01
2024_08,2024,total,24706,24696,24706,2024-10-03,2024-10-01
2024_09,2024,total,22006,22006,22006,2024-10-03,2024-10-01
2024_10,2025,total,23613,23613,23641,2025-09-20,2025-10-30
2024_11,2025,total,21123,21123,21131,2025-09-20,2025-10-30
2024_12,2025,total,22122,22120,22144,2025-09-20,2025-10-30
2025_01,2025,total,21990,21953,21995,2025-09-20,2025-10-30
2025_02,2025,total,21630,21613,21632,2025-09-20,2025-10-30
2025_03,2025,total,22921,22921,22929,2025-09-20,2025-10-30
2025_04,2025,total,22817,22813,22822,2025-09-20,2025-10-30
2025_05,2025,total,28880,28880,28896,2025-09-20,2025-10-30
2025_06,2025,total,36704,36704,36737,2025-09-20,2025-10-30
